DATE,USD1WKD156N
2017-03-01,0.71111
2017-03-02,0.71167
2017-03-03,0.71
2017-03-06,0.71
2017-03-07,0.71389
2017-03-08,0.735
2017-03-09,0.81567
2017-03-10,0.84611
2017-03-13,0.87889
2017-03-14,0.90889
2017-03-15,0.92278
2017-03-16,0.94567
2017-03-17,0.94611
2017-03-20,0.94667
2017-03-21,0.94611
2017-03-22,0.945
2017-03-23,0.94389
2017-03-24,0.94389
2017-03-27,0.94389
2017-03-28,0.94389
2017-03-29,0.94778
2017-03-30,0.95667
2017-03-31,0.95111
2017-04-03,0.95222
2017-04-04,0.94889
2017-04-05,0.94778
2017-04-06,0.94722
2017-04-07,0.94722
2017-04-10,.
2017-04-11,0.94722
2017-04-12,0.94722
2017-04-13,0.94556
2017-04-14,.
2017-04-17,.
2017-04-18,0.94722
2017-04-19,0.94611
2017-04-20,0.94389
2017-04-21,0.945
2017-04-24,0.945
2017-04-25,0.945
2017-04-26,0.94611
2017-04-27,0.94667
2017-04-28,0.95
2017-05-01,.
2017-05-02,0.94778
2017-05-03,0.94833
2017-05-04,0.9475
2017-05-05,0.94722
2017-05-08,0.94667
2017-05-09,0.94667
2017-05-10,0.94722
2017-05-11,0.94556
2017-05-12,0.94667
2017-05-15,0.94778
2017-05-16,0.94667
2017-05-17,0.94667
2017-05-18,0.94722
2017-05-19,0.9475
2017-05-22,0.94833
2017-05-23,0.94944
2017-05-24,0.94967
2017-05-25,0.94967
2017-05-26,0.94922
2017-05-29,.
2017-05-30,0.95061
2017-05-31,0.95156
2017-06-01,0.95156
2017-06-02,0.95156
2017-06-05,0.951
2017-06-06,0.95322
2017-06-07,0.975
2017-06-08,1.03544
2017-06-09,1.076
2017-06-12,1.11211
2017-06-13,1.15111
2017-06-14,1.16189
2017-06-15,1.18833
2017-06-16,1.19
2017-06-19,1.19278
2017-06-20,1.19389
2017-06-21,1.19222
2017-06-22,1.195
2017-06-23,1.18611
2017-06-26,1.18778
2017-06-27,1.18889
2017-06-28,1.18889
2017-06-29,1.19056
2017-06-30,1.19
2017-07-03,1.18833
2017-07-04,1.19056
2017-07-05,1.19111
2017-07-06,1.19111
2017-07-07,1.19
2017-07-10,1.18889
2017-07-11,1.18889
2017-07-12,1.18889
2017-07-13,1.18889
2017-07-14,1.18889
2017-07-17,1.19111
2017-07-18,1.18944
2017-07-19,1.19
2017-07-20,1.19056
2017-07-21,1.19222
2017-07-24,1.19444
2017-07-25,1.19389
2017-07-26,1.19389
2017-07-27,1.19444
2017-07-28,1.19667
2017-07-31,1.19667
2017-08-01,1.19611
2017-08-02,1.19778
2017-08-03,1.19611
2017-08-04,1.19944
2017-08-07,1.19722
2017-08-08,1.19611
2017-08-09,1.19667
2017-08-10,1.19667
2017-08-11,1.19889
2017-08-14,1.19722
2017-08-15,1.19722
2017-08-16,1.19722
2017-08-17,1.19778
2017-08-18,1.19944
2017-08-21,1.19778
2017-08-22,1.19722
2017-08-23,1.19444
2017-08-24,1.19667
2017-08-25,1.19667
2017-08-28,.
2017-08-29,1.20167
2017-08-30,1.20167
2017-08-31,1.20167
2017-09-01,1.20056
2017-09-04,1.19722
2017-09-05,1.19667
2017-09-06,1.195
2017-09-07,1.195
2017-09-08,1.195
2017-09-11,1.19667
2017-09-12,1.19667
2017-09-13,1.19556
2017-09-14,1.19667
2017-09-15,1.19611
2017-09-18,1.19556
2017-09-19,1.19667
2017-09-20,1.19556
