Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Calls.1,110-Calls-P.1,110-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2016-11-25,1480050000000,12.53,13.15,1.28878,50.23483327214121,1.310496395620624,9.736503604379378,742.9630204948689,2.4761745696386006,-2.4761745696386006,-100.0,,,,1.7887345959685437,10.511265404031457,587.6369489203028,1.7093511178030676,-1.7093511178030676,-100.0,,,
2016-11-28,1480309200000,12.46,12.9,1.28989,50.125534165519035,1.2993958125740095,9.984604187425989,768.4035988731723,2.458487267284511,-2.458487267284511,-100.0,,,,1.7750272412760442,10.754972758723953,605.9046592993324,1.696019472831046,-1.696019472831046,-100.0,,,
2016-11-29,1480395600000,12.94,13.33,1.28989,50.315039855727775,1.3563030383062842,8.949697961693715,659.8597591339076,2.560046491272086,-2.560046491272086,-100.0,,,,1.8501485397408703,9.749852460259133,526.9767400202733,1.768097133346144,-1.768097133346144,-100.0,,,
2016-11-30,1480482000000,12.71,14.07,1.28878,50.35654258043864,1.3336439108714924,9.515356089128504,713.4855122542067,2.5160676612121544,-2.5160676612121544,-100.0,,,,1.8186832250097504,10.301316774990248,566.4162198964043,1.7381593616830775,-1.7381593616830775,-100.0,,,
2016-12-01,1480568400000,13.06,14.12,1.291,50.44955707506278,1.3738150540507554,8.720183945949243,634.7422034892826,2.5886433663474246,-2.5886433663474246,-100.0,,,,1.872166233338481,9.527832766661518,508.92023352388486,1.789282880880907,-1.789282880880907,-100.0,,,
2016-12-02,1480654800000,13.2,12.14,1.29156,48.846856729173325,1.329480130130225,9.490519869869775,713.8519527132881,2.5572912597431854,-2.5572912597431854,-100.0,,,,1.8340715848212603,10.30592841517874,561.9152763976281,1.7502635208330428,-1.7502635208330428,-100.0,,,
2016-12-05,1480914000000,13.27,11.79,1.291,48.75559533978854,1.3331374212203269,9.549862578779674,716.3449488979106,2.567499726287462,-2.567499726287462,-100.0,,,,1.8404495773190168,10.369550422680986,563.4248582776339,1.7562334910164124,-1.7562334910164124,-100.0,,,
2016-12-06,1481000400000,14.12,12.22,1.29322,49.10657049849539,1.4324182831326606,8.69558171686734,607.0560407711589,2.7456777860093142,-2.7456777860093142,-100.0,,,,1.9720402677631927,9.567959732236806,485.18074851936814,1.8822761794692395,-1.8822761794692395,-100.0,,,
2016-12-07,1481086800000,13.94,12.64,1.29322,49.061300145544394,1.4123964915290328,8.243603508470965,583.6607183544191,2.708914725955416,-2.708914725955416,-100.0,,,,1.9451648733818183,9.10483512661818,468.0752388248058,1.8565450864967132,-1.8565450864967132,-100.0,,,
2016-12-08,1481173200000,13.89,11.75,1.29322,48.84186512853403,1.3988236130079963,8.232176386992002,588.5071077181583,2.6906914950870817,-2.6906914950870817,-100.0,,,,1.929802371273591,9.090197628726408,471.04292978597846,1.841500445890944,-1.841500445890944,-100.0,,,
2016-12-09,1481259600000,13.85,12.64,1.296,48.75348225506098,1.3914483978051813,8.413552602194821,604.6614890976944,2.6793884616466115,-2.6793884616466115,-100.0,,,,1.920959799637336,9.269041200362665,482.52135219657373,1.8327234940386337,-1.8327234940386337,-100.0,,,
2016-12-12,1481518800000,14.07,12.72,1.2987799999999998,47.627484232428856,1.3694303928084617,8.913569607191539,650.8961429511852,2.6776178802957142,-2.6776178802957142,-100.0,,,,1.9079515320303493,9.782048467969652,512.6990022414286,1.8181219752005784,-1.8181219752005784,-100.0,,,
2016-12-13,1481605200000,13.83,13.19,1.2982200000000002,47.623043162959156,1.3458861221732477,9.551114877826752,709.6525270952527,2.631800855655138,-2.631800855655138,-100.0,,,,1.875220666152852,10.404780333847151,554.8563175337276,1.7869613329545675,-1.7869613329545675,-100.0,,,
